ID_Segnalazione,Timestamp_UTC,Data,Ora,Categoria,Categoria_Emoji,Urgenza,Descrizione,Lat,Long,Indirizzo_Completo,Via,Numero_Civico,CAP,Comune,Provincia,Regione,Fonte_Posizione,Accuratezza_GPS_m,Destinatari,Canale_Email,Canale_WhatsApp,Canale_Twitter,Canale_Facebook,Ha_Immagine,Dimensioni_Immagine,URL_Segnalazione,URL_Immagine,Stato,Note_Ufficio,Operatore,Data_Presa_Carico,Data_Risoluzione
SGN-1772384027606,2026-03-01T16:53:47.606Z,01/03/2026,17:53,Alberi e verde pubblico,🌳,Alta,"Fusce mollis faucibus massa, at dapibus nisl. Etiam tellus ante, pellentesque eget mattis nec, consectetur in erat. Nulla ac turpis pharetra, rutrum felis vel, faucibus sapien.",38.117498,13.369651,"Quid, 52, Piazza Marina, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia",Piazza Marina,52,90133,Palermo,Palermo,Sicilia,Manuale,,email,Sì,No,No,No,Sì,1024x1024,https://gbvitrano.github.io/Segnalazioni/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772384027606.jpg,Nuova,,,,
SGN-1772385725545,2026-03-01T17:22:05.545Z,01/03/2026,18:22,Inquinamento acustico,🔊,Normale,"Fusce mollis faucibus massa, at dapibus nisl. Etiam tellus ante, pellentesque eget mattis nec, consectetur in erat. Nulla ac turpis pharetra, rutrum felis vel, faucibus sapien.",38.119393,13.33865,"Cantieri Culturali alla Zisa, 4, Via Paolo Gili, Olivuzza, V Circoscrizione, Palermo, Sicilia, 90138, Italia",Via Paolo Gili,4,90138,Palermo,Palermo,Sicilia,Manuale,,email,Sì,No,No,No,Sì,1280x853,https://gbvitrano.github.io/Segnalazioni/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772385725545.jpg,Risolta,,,,01/03/2026
SGN-1772391377684,2026-03-01T18:56:17.684Z,01/03/2026,19:56,Deiezioni non raccolte,🐕,Alta,DINO,38.117516,13.368902,"Piazza Marina, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia",Piazza Marina,,90133,Palermo,Palermo,Sicilia,Manuale,,email,Sì,No,No,No,Sì,335x745,https://gbvitrano.github.io/Segnalazioni/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772391377684.jpg,Nuova,,,,
SGN-1772403049572,2026-03-01T22:10:49.572Z,01/03/2026,23:10,Perdite idriche,🚰,Normale,Tesr,37.500911,15.085792,"14, Piazza currò, Giudecca, Centro storico, Catania, Sicilia, 95121, Italia",Piazza currò,14,95121,Catania,Catania,Sicilia,Manuale,,AMAP S.p.A.,Sì,No,No,No,No,,https://segnalaora.coseerobe.it/index.html,,Nuova,,,,
SGN-1772403840486,2026-03-01T22:24:00.486Z,01/03/2026,23:24,Rifiuti abbandonati,🗑️,Normale,,38.113717,13.363774,"7, Piazza Meschita, Kalsa, I Circoscrizione, Palermo, Sicilia, 90133, Italia",Piazza Meschita,7,90133,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772403840486.jpg,Risolta,,,,01/03/2026
SGN-1772404208983,2026-03-01T22:30:08.983Z,01/03/2026,23:30,Illuminazione pubblica guasta,💡,Normale,,38.109934,13.379057,"II Circoscrizione, Palermo, Sicilia, 90123, Italia",,,90123,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772404208983.jpg,Risolta,,,,01/03/2026
SGN-1772405723764,2026-03-01T22:55:23.764Z,01/03/2026,23:55,Veicoli abbandonati,🛺,Normale,,38.119076,13.324142,"IV Circoscrizione, Palermo, Sicilia, 90135, Italia",,,90135,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772405723764.jpg,Risolta,,,,06/03/2026
SGN-1772405837666,2026-03-01T22:57:17.666Z,01/03/2026,23:57,Immobile pericolante,🏚️,Bassa,,38.103949,13.389459,"Romagnolo, II Circoscrizione, Palermo, Sicilia, 90121, Italia",,,90121,Palermo,Palermo,Sicilia,Manuale,,gb.vitrano@comune.palermo.it,No,No,No,No,Sì,1024x1024,https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772405837666.jpg,Nuova,,,,
SGN-1772438872691,2026-03-02T08:07:52.691Z,02/03/2026,09:07,Altro,✏️,Normale,,38.11539,13.365577,"Chiesa di Sant'Anna la Misericordia, Piazza Sant'Anna, Kalsa, I Circoscrizione, Palermo, Sicilia, 90140, Italia",Piazza Sant'Anna,,90140,Palermo,Palermo,Sicilia,Manuale,,Altro,Sì,No,No,No,Sì,100x100,https://segnalaora.coseerobe.it/index.html,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772438872691.jpg,Nuova,,,,
SGN-1772451657664,2026-03-02T11:40:57.664Z,02/03/2026,12:40,Altro,fa-solid fa-ellipsis,Alta,"Etiam eleifend ullamcorper elit, ac pulvinar neque vestibulum imperdiet. Aenean tincidunt, arcu et rhoncus volutpat, dui leo aliquet massa, vitae tincidunt lorem felis eget risus. Maecenas nec ipsum a eros tempor ornare sit amet in elit. Etiam vehicula tortor eget elit dapibus consectetur. ",38.114284,13.364633,"125, Via Roma, Kalsa, I Circoscrizione, Palermo, Sicilia, 90140, Italia",Via Roma,125,90140,Palermo,Palermo,Sicilia,Manuale,,Altro,Sì,No,No,No,Sì,1024x1024,https://segnalaora.coseerobe.it/,https://gbvitrano.github.io/Segnalazioni/img/SGN-1772451657664.jpg,Nuova,,,,
